City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
283,Udachnyy,RU,66.42,112.4,-0.4,84,75,2.24,broken clouds
284,Gisborne,NZ,-38.65,178.0,78.01,45,100,5.99,overcast clouds
285,Andros Town,BS,24.7,-77.77,77.0,61,40,18.34,scattered clouds
286,Nikolskoye,RU,59.7,30.79,48.2,81,75,6.71,broken clouds
287,Takoradi,GH,4.88,-1.76,78.06,87,42,6.33,light rain
288,Sembe,CG,1.65,14.58,70.77,94,83,0.78,broken clouds
289,San Jeronimo,PE,-11.95,-75.28,53.15,67,95,2.42,light rain
290,Ust-Kulom,RU,61.69,53.69,34.86,88,96,10.31,overcast clouds
291,Mehamn,NO,71.04,27.85,42.8,74,0,17.22,clear sky
292,Ndioum,SN,16.51,-14.65,85.82,17,0,6.35,clear sky
293,Oxbow,CA,49.23,-102.17,53.6,34,1,11.41,clear sky
294,Kahului,US,20.89,-156.47,89.6,55,40,17.22,scattered clouds
295,Thompson,CA,55.74,-97.86,23.0,100,90,5.19,light snow
296,Pio Xii,BR,-3.83,-45.15,76.48,92,100,3.02,overcast clouds
297,Bose,IT,45.46,8.01,55.0,95,100,1.36,overcast clouds
298,Ojinaga,MX,29.57,-104.42,71.6,30,1,4.7,clear sky
299,Chabahar,IR,25.29,60.64,72.34,62,0,1.43,clear sky
300,Padilla,CO,3.22,-76.31,73.4,73,75,9.17,broken clouds
301,Lata,PT,40.16,-8.33,53.01,82,0,8.99,clear sky
302,Umm Lajj,SA,25.02,37.27,75.85,55,0,10.54,clear sky
303,Avera,US,33.19,-82.53,46.4,87,1,1.5,clear sky
304,Miri,MY,4.41,114.01,84.2,79,20,10.29,few clouds
305,Mananara,MG,-16.17,49.77,66.83,83,43,5.3,scattered clouds
306,Namie,JP,37.48,141.0,51.01,61,0,3.0,light rain
307,Mount Gambier,AU,-37.83,140.77,57.2,67,90,14.99,overcast clouds
308,Nexo,DK,55.06,15.13,51.8,76,100,17.22,overcast clouds
309,Siguiri,GN,11.67,-9.5,77.0,44,100,0.98,overcast clouds
310,Minab,IR,27.15,57.08,66.2,88,0,4.7,mist
311,Alofi,NU,-19.06,-169.92,80.6,74,75,20.8,broken clouds
312,Praia,CV,14.92,-23.51,75.2,88,0,6.93,clear sky
313,Taoudenni,ML,22.68,-3.98,72.81,21,0,4.56,clear sky
314,Mayo,US,38.89,-76.51,48.2,76,1,4.72,clear sky
315,San Jose,US,37.34,-121.89,63.0,67,75,9.17,haze
316,Mendoza,AR,-32.89,-68.83,78.8,16,0,6.93,clear sky
317,Yinchuan,CN,38.47,106.27,48.67,42,0,3.06,clear sky
318,Nemuro,JP,43.32,145.57,46.4,39,20,11.41,few clouds
319,Mago,RU,53.25,140.18,23.07,83,100,17.38,overcast clouds
320,Boa Esperanca,BR,-21.09,-45.57,62.51,87,0,2.17,clear sky
321,Suluq,LY,31.67,20.25,64.44,73,5,6.08,clear sky
322,Guadalupe Y Calvo,MX,26.1,-106.97,51.73,57,0,3.24,clear sky
323,Kieta,PG,-6.22,155.63,85.44,69,87,4.94,light rain
324,Tongliao,CN,43.61,122.27,38.52,52,4,10.71,clear sky
325,Jalu,LY,29.03,21.55,60.15,84,0,7.29,clear sky
326,Santa Isabel,BR,-23.32,-46.22,62.6,82,20,4.7,few clouds
327,Balykshi,KZ,47.07,51.87,50.0,43,0,13.42,clear sky
328,Souillac,MU,-20.52,57.52,68.0,88,75,4.7,shower rain
329,Mabaruma,GY,8.2,-59.78,74.62,98,100,3.91,light rain
330,Vengerovo,RU,55.68,76.75,27.7,92,100,11.83,overcast clouds
331,Olafsvik,IS,64.89,-23.71,43.93,90,100,28.63,light rain
332,Santa Isabel Do Rio Negro,BR,-0.41,-65.02,75.11,97,100,2.48,overcast clouds
333,Guerrero Negro,MX,27.98,-114.06,69.8,76,0,12.03,clear sky
334,Mahebourg,MU,-20.41,57.7,68.0,88,75,4.7,shower rain
335,Tilichiki,RU,60.47,166.1,35.82,99,100,20.87,light rain
336,Falmouth,GB,50.15,-5.07,44.6,87,5,13.87,clear sky
337,Catuday,PH,16.29,119.81,81.61,75,100,6.55,overcast clouds
338,Lewistown,US,40.6,-77.57,39.2,78,1,2.15,clear sky
339,Svetlyy,RU,54.67,20.13,46.4,93,20,6.71,few clouds
340,Vanavara,RU,60.34,102.28,20.28,96,100,8.57,overcast clouds
341,Hamilton,US,39.18,-84.53,51.8,70,1,5.73,clear sky
342,Lashio,MM,22.93,97.75,69.26,95,64,0.25,broken clouds
343,Olga,RU,43.74,135.29,36.21,63,13,13.56,few clouds
344,Krasnoslobodsk,RU,48.71,44.57,41.0,80,0,6.71,clear sky
345,Saint-Alexandre,FR,44.23,4.62,54.0,58,0,25.28,clear sky
346,Corner Brook,CA,48.97,-57.95,32.0,95,90,3.36,overcast clouds
347,Bilma,NE,18.69,12.92,69.91,24,0,7.4,clear sky
348,Esperance,AU,-33.87,121.9,62.6,63,75,14.99,broken clouds
349,Koumac,NC,-20.57,164.28,79.02,70,100,7.25,light rain
350,Ancud,CL,-41.87,-73.82,52.0,87,75,10.29,light intensity shower rain
351,Tucuma,BR,-0.18,-50.05,79.2,88,100,7.54,light rain
352,Zyryanka,RU,65.75,150.85,-3.44,88,100,14.41,overcast clouds
353,Bull Savanna,JM,17.89,-77.59,73.9,92,100,10.45,overcast clouds
354,Ouallam,NE,14.32,2.09,82.11,26,100,7.78,overcast clouds
355,Listvyanskiy,RU,54.44,83.5,27.03,97,100,9.44,overcast clouds
356,Ajuchitlan,MX,20.72,-100.02,53.6,71,5,12.75,clear sky
357,Maltahohe,NA,-24.83,16.98,50.95,61,0,1.43,clear sky
358,Koslan,RU,63.46,48.9,41.27,89,100,12.41,overcast clouds
359,Acarau,BR,-2.89,-40.12,80.19,80,47,11.79,scattered clouds
